C	Clicks	Iterative	MAP@10	MAP@15	MAP@20	MAP@5	MAP@50	Model	NDCG	Precision@10	Precision@15	Precision@20	Precision@5	Precision@50	R-Precision	Recall@10	Recall@15	Recall@20	Recall@5	Recall@50	SampleFromAll
1.0	0.11023622047244094	True	0.5272009123859518	0.4935450868757955	0.465934499494679	0.5710446194225722	0.3606416144561121	UCB	0.2325958195418585	0.4579527559055118	0.4071391076115486	0.3689763779527559	0.5297637795275589	0.2407244094488189	0.16840186414198255	0.06542140551151594	0.08656466214786357	0.10464256996726164	0.03818641509036	0.1706318668772997	True
1.0	0.06866141732283465	True	0.5795098112735908	0.5514301347529693	0.5276890647865605	0.6222887139107611	0.4361898335613485	UCB	0.2985118904737804	0.5184251968503936	0.4789501312335958	0.4444881889763779	0.5741732283464567	0.3250393700787402	0.2312692186177085	0.07555448040700521	0.10447797356418376	0.1289546317741719	0.0420782997681393	0.2346216016071004	False
1.0	0.12456692913385825	False	0.5014648793900762	0.4673295456366322	0.4396589134373775	0.5479370078740158	0.3401151608027456	UCB	0.22191348148978696	0.4300787401574804	0.3793175853018372	0.34346456692913385	0.4995275590551181	0.23086614173228345	0.1616738928628084	0.061222883135773815	0.08048743689917724	0.09713843506624932	0.035823947447128884	0.1637281115830389	True
1.0	0.07354330708661418	False	0.5887669666291714	0.5601260812678135	0.5352240732061007	0.6243254593175853	0.4337083314326016	UCB	0.2904777247309987	0.5351181102362205	0.4847244094488189	0.44425196850393706	0.5848818897637795	0.3108346456692913	0.2210040671591148	0.07818920390410525	0.10590598246825808	0.12921516438074626	0.04300111813380577	0.22393774745482925	False
2.0	0.1159055118110236	True	0.5281053618297712	0.4936246448214953	0.4656202839135301	0.5716640419947506	0.3587540816642169	UCB	0.2307249180678877	0.4565354330708662	0.4062992125984252	0.3652755905511811	0.5341732283464568	0.23795275590551185	0.16637271402766046	0.06514886260602906	0.08601740206407026	0.10336278518613254	0.03840767043493133	0.16842004342205286	True
2.0	0.07196850393700788	True	0.5818089613798275	0.5532501453052634	0.5301166172240469	0.6218582677165354	0.4390058328573507	UCB	0.2991116659599208	0.5215748031496062	0.4827296587926509	0.4465354330708662	0.5801574803149606	0.3271811023622047	0.2317632586090551	0.07571728197901545	0.10499846880381387	0.128965153465267	0.04262532716037733	0.2353306663635683	False
2.0	0.13322834645669293	False	0.4814960004999375	0.4488028072831222	0.4230738949793641	0.5276010498687663	0.3290708696453961	UCB	0.2162459055755768	0.4092913385826771	0.3675590551181102	0.3319685039370079	0.4815748031496063	0.22636220472440946	0.15875669887391536	0.058181613702553626	0.07787167146658411	0.09381913447628516	0.03453561612020767	0.1607901318534274	True
2.0	0.07590551181102362	False	0.5822633420822396	0.5510676177132869	0.5246957257311649	0.6245721784776903	0.42459370647204814	UCB	0.2871796207440546	0.5185826771653543	0.4689763779527559	0.4324409448818897	0.5836220472440945	0.3071496062992126	0.21841275676514865	0.07609360947185569	0.10252297971604904	0.12562129493113458	0.043216410371073655	0.22160103994380687	False
0.0	0.11070866141732286	True	0.5201177977752781	0.486418309308073	0.4589057664809992	0.5613910761154854	0.3573289663648385	Greedy	0.23162514419916624	0.452755905511811	0.39884514435695534	0.3622834645669292	0.5196850393700787	0.2406614173228347	0.16870464131710405	0.06446065594937322	0.08466274247556824	0.10252653048005927	0.03742352062498777	0.17067888651898214	True
0.0	0.07165354330708662	True	0.5826854143232096	0.5545714058469964	0.5319844715442092	0.6229868766404199	0.4405609397677718	Greedy	0.3005012526063197	0.5239370078740158	0.4818897637795276	0.4525984251968504	0.5785826771653543	0.32809448818897635	0.2327401372423493	0.07588474727802293	0.10442148102742893	0.13102494502031986	0.042065498809894665	0.2367055239634176	False
0.0	0.12110236220472442	False	0.5175627421572303	0.4837645629377913	0.4561296247852189	0.558745406824147	0.3492276389841276	Greedy	0.2247054856758466	0.4481889763779528	0.39706036745406825	0.3573228346456693	0.5237795275590551	0.23168503937007875	0.16155765130671818	0.06382493509024466	0.08451815985429333	0.10097403617036296	0.037830821133679284	0.16378938900009754	True
0.0	0.07102362204724409	False	0.5973513935758029	0.5675212151511365	0.5417120520934391	0.633244094488189	0.4389398224259884	Greedy	0.2932727807211535	0.5390551181102362	0.4880839895013124	0.4491338582677166	0.5996850393700787	0.3137007874015748	0.22276665546600447	0.07887513030540816	0.10638037807017547	0.1300351459036933	0.0440620096589946	0.2259312890184809	False
0.0	0.12078740157480315	True	0.5158552680914885	0.4848506943625053	0.4586941397245022	0.5537795275590551	0.3561316331917547	ThompsonSampling	0.22990756678642565	0.4516535433070866	0.4040944881889764	0.3658267716535433	0.5165354330708661	0.2389291338582677	0.1674331184307502	0.06451829294184154	0.08598030021583045	0.10359832035864792	0.03717329724998483	0.1696337971460328	True
0.0	0.07275590551181102	True	0.5881441694788151	0.5570681226035558	0.5325886079674993	0.6300997375328085	0.4414431007630965	ThompsonSampling	0.30149652896443085	0.521259842519685	0.4797900262467192	0.4477952755905512	0.5880314960629922	0.32966929133858264	0.2337779813849249	0.07574532752750149	0.10404522322200713	0.12933676954599796	0.042863923770099684	0.2374273838221357	False
0.0	0.1467716535433071	False	0.4678530808648919	0.4371753702698585	0.4134277089943608	0.5116062992125985	0.3273884386311227	ThompsonSampling	0.21653760790258872	0.4022047244094488	0.361259842519685	0.3307874015748032	0.4639370078740158	0.2302992125984252	0.16074668855737506	0.05707452697784163	0.07629424365817954	0.09357559633587527	0.03316335984895573	0.1632829142350624	True
0.0	0.07354330708661418	False	0.5774479440069992	0.5451375576887387	0.5190958783012517	0.6200682414698163	0.4219742048046913	ThompsonSampling	0.28721803119303463	0.5083464566929135	0.4634120734908137	0.42748031496063	0.5729133858267716	0.3084094488188976	0.21994379427507207	0.07457894332211086	0.1015314010181472	0.1246310720527754	0.042053382773872126	0.22312502546926646	False
1.0	0.1125984251968504	True	0.5275713035870515	0.4938284206315703	0.4657758017259767	0.5702152230971128	0.3600662168171815	UCB	0.23300622818138386	0.4593700787401575	0.4058792650918636	0.3677165354330709	0.5253543307086614	0.24103937007874016	0.16897133792532384	0.06530902604708456	0.08607648608370383	0.1040537493018656	0.03770419382620016	0.1711858288519748	True
